"date","googLVL","volLVL","dif_highlowLVL","googRET","daxRET","y_closeRET"
"2012-01-03",91,94720,2.199996,-0.0109290705321907,0.0148751535134988,0.0315132757064891
"2012-01-04",87,97289,2.200005,-0.044951387862266,-0.00896234748417335,-0.00503083610778621
"2012-01-05",84,68027,3.300003,-0.0350913198112703,-0.00254917524352649,0.0235624760413344
"2012-01-06",86,61603,3.449997,0.023530497410194,-0.00626472238523945,-0.00990106175879113
"2012-01-09",92,82983,2.699996,0.0674412807955331,-0.00673947675074871,-0.00817444133674616
"2012-01-10",93,226871,3.900002,0.0108109161042158,0.0239334063438985,0.0225437856957251
"2012-01-11",85,122437,2.549995,-0.0899482366629396,-0.001727951656882,0.017676111697134
"2012-01-12",87,143906,2.650002,0.023256862164267,0.00435795337176259,0.00437063625169909
"2012-01-13",89,186988,3.949997,0.0227282510775559,-0.00586416752457097,-0.00262012376968102
"2012-01-16",92,78963,3.5,0.0331522073169008,0.012445219099158,0.0169091823413474
"2012-01-17",92,171198,2.849998,0,0.0179915552048033,0.0187398752552106
"2012-01-18",86,115507,2.900002,-0.0674412807955331,0.00341117934715385,0.00630916919326463
"2012-01-19",88,189160,2.849999,0.0229895182246995,0.00966114556580422,0.0232086916506082
"2012-01-20",90,140573,2.699997,0.0224728558520582,-0.00185164285447925,0.00245495212307478
"2012-01-23",96,97248,3.049995,0.0645385211375711,0.00501986168420565,-0.00327467348045118
"2012-01-24",87,95340,2.849998,-0.0984400728132524,-0.00270692730702926,-0.00287414697698463
"2012-01-25",88,80493,2.449997,0.0114286958236232,0.000409604958568011,0.0126661877222061
"2012-01-26",89,97007,3.549995,0.0112995552539328,0.0182079909659691,0.013709859899655
"2012-01-27",84,69075,3.049995,-0.0578195708888263,-0.00427069004012459,-0.00965799056444716
"2012-01-30",93,67518,3.849999,0.101782694309943,-0.0104242288338021,0
"2012-01-31",85,98097,2.599999,-0.0899482366629396,0.00224127152303133,-0.00121385407407981
"2012-02-01",89,181628,3.5,0.045985113241823,0.024127111875222,0.0271582344127514
"2012-02-02",90,166725,3.900002,0.0111733005981254,0.00587538651673292,-0.0122895818318067
"2012-02-03",94,117420,3.90000900000001,0.0434851119397388,0.0165459830108858,0.0201389155730363
"2012-02-06",100,83292,2.150001,0.061875403718088,-0.000271934968235854,0.00351222984231114
"2012-02-07",96,92150,4.599999,-0.0408219945202557,-0.00157258101742386,-0.0137284601520369
"2012-02-08",88,77713,1.99999199999999,-0.0870113769896292,-0.000805812845493747,0.00276079060704859
"2012-02-09",86,129421,2.800003,-0.0229895182246995,0.00591541711003529,0.0191150511796119
"2012-02-10",86,116735,4.699997,0,-0.0142179448617608,-0.0171477083778315
"2012-02-13",89,123665,3.699997,0.0342890734786323,0.00677670621375448,0.0210042501660599
"2012-02-14",86,112195,4.550003,-0.0342890734786323,-0.00152677440106075,-0.0174727181318417
"2012-02-15",86,93405,3.25,0,0.00441194746275819,-0.00471142597641094
"2012-02-16",91,146187,3.349999,0.0565122102633424,-0.00088527382644088,-0.00315334113968824
"2012-02-17",85,82466,2.449997,-0.0682082500265331,0.0141281609456829,0.0214809434597125
"2012-02-20",93,73051,2.15000900000001,0.0899482366629396,0.0145288410338953,0.00616337103404607
"2012-02-21",93,91046,2.050003,0,-0.00578358714116511,-0.00423324102676315
"2012-02-22",91,87555,2.699997,-0.0217399866364065,-0.00935286396258839,-0.00463851629480416
"2012-02-23",89,129619,4.849999,-0.0222231367847101,-0.00504056206933434,-0.031886212109125
"2012-02-24",94,176025,3.60000600000001,0.0546584125378642,0.00804021541468458,0.0127187566099858
"2012-02-27",95,274054,6.849998,0.0105821093305369,-0.00216276083461686,-0.0103216080677271
"2012-02-28",91,108881,2.099998,-0.043017385083691,0.00553676137112014,0.00596779158944738
"2012-02-29",88,124490,2.199997,-0.0335226920386429,-0.00459117087147121,0.00908194988710864
"2012-03-01",89,131587,3.699997,0.0112995552539328,0.0124209268938937,0.0210042501660599
"2012-03-02",88,97123,1.60000600000001,-0.0112995552539328,-0.00294304429197112,0.00460834927557219
"2012-03-05",93,98381,3.04998799999998,0.0552626786750494,-0.00796505991018392,-0.00115004035331889
"2012-03-06",91,135151,4.550003,-0.0217399866364065,-0.0345749304074623,-0.0455159206145277
"2012-03-07",87,100701,2.549995,-0.044951387862266,0.00571248883720976,-0.00241160081816361
"2012-03-08",87,89010,3.400002,0,0.0242029306219695,0.0262128031312701
"2012-03-09",89,96190,3.85000600000001,0.0227282510775559,0.00665999610775536,0.0113039362536638
"2012-03-12",93,130614,2.74999199999999,0.0439631234211166,0.00306788977304606,-0.00739156828778942
"2012-03-13",91,176569,3.85000600000001,-0.0217399866364065,0.0136086560384978,-0.00587430694414337
"2012-03-14",90,235686,4.39999399999999,-0.0110498361865847,0.0118662575497677,0.0271229328291387
"2012-03-15",86,165635,2.54998799999998,-0.0454623740767577,0.00914388637782082,0.00114608608533562
"2012-03-16",83,122312,3.25,-0.0355066884569091,0.00186958194419695,-0.00882072066174366
"2012-03-19",94,91787,2.74999199999999,0.124454174473406,-0.000503018307115966,-0.00889933529288367
"2012-03-20",92,209934,5.699997,-0.0215062052209634,-0.0139743501440073,-0.0551257301268873
"2012-03-21",85,148447,2.450005,-0.0791373205587238,0.00231906967782436,0.0110272549807551
"2012-03-22",87,125579,3.5,0.023256862164267,-0.0128177592525613,-0.00938591688177137
"2012-03-23",85,88314,2.900001,-0.023256862164267,0.0020548729291896,0.0130348566546035
"2012-03-26",88,79331,2.950005,0.0346855579878902,0.0118808862503688,-0.00364893977283209
